machine_id,machine_type,labor_cost,maintain_cost,transport_cost,operation_cost,total_cost,total_area,total_operation_time,maintain_rate_hour,labor_rate_ton,total_distance,travel_liter_rate_km,operate_liter_rate_ton,total_leaf_ton,setup_time,travel_liter,operation_liter,profit_predict,income
M106,Sweeper,8324.400000000001,474.72666666666663,144.83220068297982,3745.98,12689.938867349649,346.85,47.47266666666666,10.0,20.0,24.13870011382997,0.2,0.3,416.22,0.16666666666666666,4.827740022765994,124.866,416220.0,0.0
M109,Baler,33297.600000000006,1340.55,295.65240136595963,14609.322,49543.12440136597,346.85,44.684999999999995,30.0,80.0,24.63770011382997,0.4,1.17,416.22,0.25,9.855080045531988,486.9774,416220.0,0.0
M112,Picker,20811.0,595.8000000000001,283.5804013659597,4120.578,25810.95840136596,346.85,29.790000000000003,20.0,50.0,23.63170011382997,0.4,0.33,416.22,0.16666666666666666,9.45268004553199,137.35260000000002,416220.0,0.0
M114,Truck,33297.600000000006,297.90000000000003,141.79020068297984,2497.3200000000006,36234.61020068299,346.85,29.790000000000003,10.0,80.0,23.63170011382997,0.2,0.2,416.22,0.16666666666666666,4.726340022765995,83.24400000000001,416220.0,416220.0
