solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M106,SS,จุดเริ่มต้น,14.7518,99.7934,0.0,Sweeper,2023-02-05,2023-02-13,2023-02-13,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
S1,M106,F225,M06 แปลงที่ 9 -42160038,14.781580772572,99.809022973283,9.52,Sweeper,2023-02-13,2023-02-13,2023-02-13,0.0,08:00,00:11,08:00,01:17,09:17,11.424,11424.0
S1,M106,F222,M06 แปลงที่ 6 -42160116,14.782601687452,99.805388028404,12.02,Sweeper,2023-02-11,2023-02-13,2023-02-13,0.573,08:00,00:02,09:19,01:35,10:54,14.424,14424.0
S1,M106,F218,M06 แปลงที่ 2 -42160086,14.782386226441,99.803268969525,12.71,Sweeper,2023-02-07,2023-02-13,2023-02-13,0.692,08:00,00:02,10:56,01:40,13:36,15.252,15252.0
S1,M106,F217,M06 แปลงที่ 1 -42160026,14.782584142021,99.803938559077,8.88,Sweeper,2023-02-06,2023-02-13,2023-02-13,0.007,08:00,00:00,13:36,01:13,14:48,10.656,10656.0
S1,M106,F221,M06 แปลงที่ 5 -42160020,14.78058264753,99.805323118006,9.31,Sweeper,2023-02-10,2023-02-13,2023-02-13,3.316,08:00,00:10,14:58,01:16,16:14,11.172,11172.0
S1,M106,F236,M06 แปลงที่ 20 -42160020,14.78058264753,99.805323118006,9.31,Sweeper,2023-02-21,2023-02-21,2023-02-21,0.0,08:00,00:00,08:00,01:16,09:16,11.172,11172.0
S1,M106,F229,M06 แปลงที่ 13 -42160127,14.779593312897,99.807373890946,5.76,Sweeper,2023-02-18,2023-02-21,2023-02-21,0.659,08:00,00:02,09:18,00:51,10:08,6.912,6912.0
S1,M106,F235,M06 แปลงที่ 19 -42160088,14.781293042979,99.806331462076,16.74,Sweeper,2023-02-20,2023-02-21,2023-02-21,0.175,08:00,00:01,10:09,02:08,13:17,20.088,20088.0
S1,M106,F231,M06 แปลงที่ 15 -42160142,14.780472589442,99.807140819366,2.1,Sweeper,2023-02-19,2023-02-21,2023-02-21,0.0,08:00,00:00,13:17,00:25,13:42,2.52,2520.0
S1,M106,F226,M06 แปลงที่ 10 -42160004,14.785233840102,99.809501854737,12.17,Sweeper,2023-02-14,2023-02-21,2023-02-21,1.574,08:00,00:05,13:47,01:36,15:22,14.604,14604.0
S1,M106,F245,M06 แปลงที่ 29 -4216081,14.790088437158,99.790060860446,19.3,Sweeper,2023-02-28,2023-02-28,2023-02-28,2.779,08:00,00:08,08:00,02:26,10:26,23.16,23160.0
S1,M106,F237,M06 แปลงที่ 21 -42160090,14.782704448621,99.791350557022,2.93,Sweeper,2023-02-22,2023-02-28,2023-02-28,1.088,08:00,00:03,10:30,00:31,11:00,3.516,3516.0
S1,M106,F238,M06 แปลงที่ 22 -42160083,14.781547888688,99.791334783658,1.74,Sweeper,2023-02-22,2023-02-28,2023-02-28,0.88,08:00,00:03,11:03,00:22,11:25,2.088,2088.0
S1,M106,F248,M06 แปลงที่ 32 -42160071,14.777542957889,99.792727692082,5.97,Sweeper,2023-03-02,2023-03-02,2023-03-02,0.62,08:00,00:02,08:00,00:52,08:52,7.164,7164.0
S1,M106,F247,M06 แปลงที่ 31 -42160040,14.780294514429,99.792392927075,4.86,Sweeper,2023-03-02,2023-03-02,2023-03-02,0.305,08:00,00:01,08:53,00:44,09:37,5.832,5832.0
S1,M106,F241,M06 แปลงที่ 25 -4216337,14.782532071176,99.792284259348,3.95,Sweeper,2023-02-24,2023-03-02,2023-03-02,0.257,08:00,00:01,09:38,00:38,10:16,4.74,4740.0
S1,M106,F246,M06 แปลงที่ 30 -42160012,14.780648127574,99.791307693903,9.21,Sweeper,2023-03-01,2023-03-02,2023-03-02,0.357,08:00,00:01,10:17,01:15,11:32,11.052,11052.0
S1,M106,F250,M06 แปลงที่ 34 -42160035,14.779376750379,99.791184662514,10.48,Sweeper,2023-03-03,2023-03-03,2023-03-03,0.249,08:00,00:01,08:00,01:24,09:24,12.576,12576.0
S1,M106,F242,M06 แปลงที่ 26 -42160122,14.781414046216,99.789788619489,7.55,Sweeper,2023-02-24,2023-03-03,2023-03-03,0.419,08:00,00:01,09:25,01:03,10:29,9.06,9060.0
S1,M106,F252,M06 แปลงที่ 36 -4216343,14.779476064209,99.790114419679,6.91,Sweeper,2023-03-05,2023-03-05,2023-03-05,0.425,08:00,00:01,08:00,00:59,08:59,8.292,8292.0
S1,M106,F253,M06 แปลงที่ 37 -42160044,14.777743098846,99.791039230741,9.37,Sweeper,2023-03-05,2023-03-05,2023-03-05,0.989,08:00,00:03,09:02,01:16,10:18,11.244,11244.0
S1,M107,SS,จุดเริ่มต้น,14.7518,99.7934,0.0,Sweeper,2023-02-05,2023-02-09,2023-02-09,0.0,00:00,00:00,00:00,00:00,00:00,0.0,0.0
S1,M107,F220,M06 แปลงที่ 4 -42160017,14.781933212904,99.804626469986,10.0,Sweeper,2023-02-09,2023-02-09,2023-02-09,0.0,08:00,00:11,08:00,01:10,09:10,12.0,12000.0
S1,M107,F219,M06 แปลงที่ 3 -42160108,14.783258869635,99.804578679598,7.7,Sweeper,2023-02-08,2023-02-09,2023-02-09,2.601,08:00,00:08,09:18,00:56,10:14,9.24,9240.0
S1,M107,F223,M06 แปลงที่ 7 -42160123,14.780752107283,99.808720883168,6.43,Sweeper,2023-02-11,2023-02-11,2023-02-11,0.735,08:00,00:02,08:00,00:49,08:49,7.716,7716.0
S1,M107,F224,M06 แปลงที่ 8 -42160022,14.779802588473,99.808443733269,9.89,Sweeper,2023-02-12,2023-02-12,2023-02-12,0.094,08:00,00:00,08:00,01:09,09:09,11.868,11868.0
S1,M107,F230,M06 แปลงที่ 14 -42160013,14.780833724681,99.807631073308,7.66,Sweeper,2023-02-19,2023-02-19,2023-02-19,0.13,08:00,00:00,08:00,00:56,08:56,9.192,9192.0
S1,M107,F234,M06 แปลงที่ 18 -42160121,14.781353339143,99.808004428368,3.4,Sweeper,2023-02-20,2023-02-20,2023-02-20,0.1,08:00,00:00,08:00,00:30,08:30,4.08,4080.0
