solution,machine_id,feild_id,feild_name,lat,lng,area,machine_type,open_date,closed_date,work_date,distance,open_time,travel_time,start_time,operation_time,exit_time,leaf_ton,income
S1,M122,F270,M33 แปลงที่ 14 -40050041,14.846734121065,99.91543578105,9.75,Baler,2023-01-22,2023-01-24,2023-01-24,1.924,13:02,00:06,14:39,01:14,15:53,11.7,11700.0
S1,M122,F278,M33 แปลงที่ 22 -46110044,14.847504000123,99.896862738965,9.54,Baler,2023-01-31,2023-01-31,2023-01-31,2.614,17:21,00:08,18:22,01:12,19:34,11.448,11448.0
S1,M122,F277,M33 แปลงที่ 21 -46110008,14.848560883203,99.89670239799,26.1,Baler,2023-01-29,2023-02-01,2023-01-31,0.106,13:13,00:00,19:34,02:52,08:26,31.32,31320.0
S1,M122,F283,M33 แปลงที่ 27 -46110034,14.842357790735,99.892584917302,9.55,Baler,2023-02-03,2023-02-03,2023-02-03,1.098,12:56,00:03,13:56,01:12,15:09,11.46,11460.0
S1,M122,F279,M33 แปลงที่ 23 -46110041,14.846754872957,99.897284548542,8.51,Baler,2023-01-31,2023-02-03,2023-02-03,0.93,12:25,00:03,15:12,01:06,16:18,10.212,10212.0
S1,M122,F276,M33 แปลงที่ 20 -40130035,14.849613062788,99.892482695199,23.48,Baler,2023-02-28,2023-02-28,2023-02-28,1.819,11:54,00:05,11:54,02:36,15:30,28.176,28176.0
S1,M123,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Picker,2023-01-06,2023-01-08,2023-01-08,0.0,00:00,00:00,04:32,00:00,04:32,0.0,0.0
S1,M123,F258,M33 แปลงที่ 2 -40050029,14.836489496944,99.912813779069,6.85,Picker,2023-01-08,2023-01-08,2023-01-08,0.0,12:31,00:03,13:32,00:47,14:19,8.22,8220.0
S1,M123,F259,M33 แปลงที่ 3 -40050043,14.836332418645,99.912335525212,5.43,Picker,2023-01-09,2023-01-09,2023-01-09,0.005,11:40,00:00,11:40,00:42,13:22,6.516,6516.0
S1,M123,F261,M33 แปลงที่ 5 -40050047,14.842044270278,99.910425644325,12.19,Picker,2023-01-12,2023-01-12,2023-01-12,0.969,08:32,00:03,08:33,01:09,09:41,14.628,14628.0
S1,M123,F260,M33 แปลงที่ 4 -40050065,14.831763654157,99.90584316098,17.76,Picker,2023-01-11,2023-01-12,2023-01-12,1.168,11:04,00:04,09:45,01:31,11:16,21.312,21312.0
S1,M123,F273,M33 แปลงที่ 17 -40050018,14.840414663885,99.90678281679,4.0,Picker,2023-01-25,2023-01-25,2023-01-25,1.37,11:05,00:04,11:05,00:36,11:41,4.8,4800.0
S1,M123,F272,M33 แปลงที่ 16 -40050071,14.839651997575,99.90635986297,8.57,Picker,2023-01-24,2023-01-25,2023-01-25,0.129,13:33,00:00,11:41,00:54,13:36,10.284,10284.0
S1,M123,F266,M33 แปลงที่ 10 -40050055,14.840947947068,99.848326821,3.75,Picker,2023-01-20,2023-01-25,2023-01-25,8.668,14:51,00:26,14:02,00:35,14:37,4.5,4500.0
S1,M123,F274,M33 แปลงที่ 18 -46110044,14.847504000123,99.896862738965,9.54,Picker,2023-01-25,2023-01-25,2023-01-25,8.688,14:46,00:26,15:47,00:58,16:45,11.448,11448.0
S1,M123,F282,M33 แปลงที่ 26 -46110075,14.845151521327,99.896450321138,10.33,Picker,2023-02-02,2023-02-02,2023-02-02,0.341,15:18,00:01,16:18,01:01,17:20,12.396,12396.0
S1,M123,F283,M33 แปลงที่ 27 -46110034,14.842357790735,99.892584917302,9.55,Picker,2023-02-03,2023-02-03,2023-02-03,0.539,14:08,00:02,15:09,00:58,16:07,11.46,11460.0
S1,M123,F280,M33 แปลงที่ 24 -46110071,14.845954613376,99.897183138955,5.69,Picker,2023-02-01,2023-02-03,2023-02-03,0.846,14:09,00:03,16:10,00:43,16:52,6.828,6828.0
S1,M123,F277,M33 แปลงที่ 21 -46110008,14.848560883203,99.89670239799,26.1,Picker,2023-02-01,2023-02-03,2023-02-03,0.252,08:25,00:01,16:53,02:04,18:57,31.32,31320.0
S1,M123,F278,M33 แปลงที่ 22 -46110044,14.847504000123,99.896862738965,9.54,Picker,2023-01-31,2023-02-03,2023-02-03,0.106,08:00,00:00,18:58,00:58,19:56,11.448,11448.0
S1,M123,F271,M33 แปลงที่ 15 -40050070,14.841762961662,99.906679711492,9.3,Picker,2023-02-27,2023-02-27,2023-02-27,2.411,12:32,00:07,13:33,00:57,14:30,11.16,11160.0
S1,M124,SS,จุดเริ่มต้น,14.8357,99.9218,0.0,Picker,2023-01-06,2023-01-07,2023-01-07,0.0,00:00,00:00,06:10,00:00,06:10,0.0,0.0
S1,M124,F257,M33 แปลงที่ 1 -40050045,14.835687687704,99.92176063851,9.58,Picker,2023-01-07,2023-01-07,2023-01-07,0.0,14:09,00:00,15:10,01:07,16:17,11.496,11496.0
