machine_id,machine_type,labor_cost,maintain_cost,transport_cost,operation_cost,total_cost,total_area,total_operation_time,maintain_rate_hour,labor_rate_ton,total_distance,travel_liter_rate_km,operate_liter_rate_ton,total_leaf_ton,setup_time,travel_liter,operation_liter,profit_predict,income
M164,Sweeper,2628.0000000000005,231.6266666666667,241.9809529089293,1410.3600000000001,4511.9676195755965,146.0,23.16266666666667,10.0,15.0,19.204837532454707,0.36,0.23,175.20000000000002,0.16666666666666666,6.913741511683694,40.29600000000001,175200.00000000003,0.0
M165,Baler,10512.000000000002,1873.2066666666665,1012.8753734998518,5948.040000000001,19346.12204016652,146.0,93.66033333333333,20.0,60.0,87.6948375324547,0.33,0.97,175.20000000000002,0.16666666666666666,28.93929638571005,169.94400000000002,175200.00000000003,0.0
M166,Picker,3504.0000000000005,291.85333333333335,705.9434421362603,5150.88,9652.676775469594,146.0,29.185333333333336,10.0,20.0,87.6948375324547,0.23,0.84,175.20000000000002,0.25,20.16981263246458,147.168,175200.00000000003,0.0
M167,Truck,3504.0000000000005,145.92666666666668,644.557055863542,2943.36,7237.84372253021,146.0,29.185333333333336,5.0,20.0,87.6948375324547,0.21,0.48,175.20000000000002,0.25,18.415915881815486,84.096,175200.00000000003,175200.00000000003
